Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1429,228737,0.34,-0.39,-0.18,0,0,0,0.05,0.11,-0.27,-0.08,0.23,0.22
1432,228738,-0.05,0.06,-0.26,0,0,0,0.16,0.05,-0.05,-0.11,0.26,0.1
1483,228739,-0.2,-0.07,0.16,0,0,0,-0.26,0.05,0.33,0.08,0.01,0.02
1484,228740,0,-0.14,-0.05,0,0,0,0.34,0.1,0.14,-0.21,0.3,0.28
1486,228741,0,-0.41,0.17,0,0,0,0.07,0.11,0.45,-0.2,0.23,-0.31
1489,228742,0.05,0.04,-0.24,0,0,0,-0.09,0.21,0.35,-0.05,-0.01,-0.18
1491,228743,0.09,-0.16,0.01,0,0,0,-0.15,-0.1,0.1,-0.14,0.02,-0.14
1494,228744,-0.08,0.19,-0.32,0,0,0,-0.29,-0.03,0.14,-0.17,0.03,-0.3
1497,228745,-0.39,0.04,0.57,0,0,0,0.17,0.31,0.1,-0.33,-0.07,-0.05
1500,228746,-0.15,-0.02,0,0,0,0,0.07,-0.04,0.33,-0.28,0,-0.57
1502,228747,-0.15,-0.02,0.39,0,0,0,-0.42,-0.1,0.07,-0.21,0.05,-0.06
1511,228748,-0.13,-0.44,0.06,0,0,0,-0.4,0.27,-0.24,-0.18,0.06,0.26
1512,228749,-0.22,0.15,0.07,0,0,0,-0.15,0.06,0.22,-0.08,0.17,-0.26
1557,228750,-0.04,-0.03,-0.52,0,0,0,0.14,-0.44,-0.39,0.51,-0.07,-0.33
1559,228751,0.33,0.26,-0.17,0,0,0,0.12,-0.43,-0.22,-0.12,-0.44,0.02
1562,228752,0.28,0.18,-0.19,0,0,0,0.1,-0.09,-0.1,-0.1,-0.16,0.05
1565,228753,0.05,-0.12,-0.08,0,0,0,0.01,-0.11,-0.06,0.11,0.15,0.13
1567,228754,0.1,-0.06,-0.06,0,0,0,-0.01,0.32,-0.1,-0.3,0.23,0.06
1570,228755,0.03,-0.03,-0.02,0,0,0,0.1,0.2,-0.36,0.25,-0.07,-0.2
1572,228756,0.02,0.06,-0.06,0,0,0,-0.29,-0.2,-0.28,0.17,0.11,0.04
1575,228757,0.05,-0.03,-0.24,0,0,0,0.07,-0.02,-0.1,0.15,-0.04,-0.17
1577,228758,0.06,-0.03,-0.01,0,0,0,-0.03,-0.02,-0.13,0.01,0.02,-0.09
1581,228759,0.19,0.03,-0.11,0,0,0,-0.24,0.07,-0.34,-0.06,0.11,-0.01
1630,228760,-0.09,0.04,-0.07,0,0,0,-0.06,0.08,-0.02,0.13,0.02,0.12
1632,228761,0.09,0,-0.01,0,0,0,-0.08,0.03,-0.03,0.12,0.02,0.18
1636,228762,-0.16,0.07,-0.2,0,0,0,-0.05,-0.09,-0.04,0.07,-0.09,0
1638,228763,0.02,-0.16,0.03,0,0,0,0.3,0.12,0.03,-0.03,-0.28,0.3
1640,228764,-0.02,0.16,0.01,0,0,0,0.2,0.1,0.1,-0.19,0.04,-0.2
1643,228765,0.02,0.1,0.07,0,0,0,-0.27,-0.1,-0.08,-0.06,-0.18,0.07
1645,228766,0.03,-0.03,-0.22,0,0,0,0.23,0.01,0.16,0.01,-0.11,0.34
1648,228767,0.22,-0.01,-0.07,0,0,0,0.27,-0.01,0.01,-0.17,-0.28,-0.15
1651,228768,-0.36,-0.17,-0.06,0,0,0,0.47,0.1,0.05,-0.01,-0.17,-0.11
1653,228769,-0.04,0.18,0.23,0,0,0,0.46,-0.16,0.1,0.04,-0.11,0.04
1704,228770,0.28,-0.02,0.09,0,0,0,0.59,-0.09,0.01,-0.2,0.13,-0.2
1705,228771,0.08,-0.03,0.14,0,0,0,-0.43,0.07,0.07,-0.02,0.17,0
1708,228772,0.33,0.24,0.22,0,0,0,-0.5,-0.03,-0.12,0.09,0.05,-0.17
1711,228773,0.58,-0.13,-0.01,0,0,0,-0.09,0.25,-0.05,0.03,0.47,-0.22
1713,228774,-0.18,0.08,0.17,0,0,0,0.14,0.42,-0.02,-0.11,0.03,-0.08
1716,228775,-0.01,-0.14,-0.64,0,0,0,0.03,-0.31,-0.01,0.29,-0.02,-0.06
1719,228776,0.23,-0.09,0.02,0,0,0,-0.43,-0.04,-0.22,0.16,0.27,-0.1
1722,228777,0.01,0.11,-0.16,0,0,0,-0.13,-0.33,-0.26,-0.1,0.34,-0.08
1724,228778,-0.09,0.05,0.04,0,0,0,0.46,-0.21,-0.13,0.05,0.05,0.09
1727,228779,-0.16,0,-0.22,0,0,0,-0.04,-0.1,0.01,0.13,0.09,0.11
1777,228780,-0.02,-0.07,0.12,0,0,0,0.1,0.01,0.09,-0.07,0.21,0.04
1779,228781,-0.07,0.26,0.12,0,0,0,0.06,-0.08,0.16,0.13,0,0.04
