Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1433,320949,-0.71,-0.14,0.05,0,0,0,-0.12,0.38,0.05,-0.1,-0.29,0.72
1436,320950,0.17,-0.14,0.02,0,0,0,0.36,0.45,-0.36,-0.06,-0.17,0.28
1438,320951,0.08,-0.11,-0.11,0,0,0,-0.09,-0.25,-0.14,-0.21,0.05,-0.61
1441,320952,0.26,0.05,0.24,0,0,0,-0.3,0.05,-0.06,0.21,0.21,0.58
1443,320953,-0.26,0.35,-0.14,0,0,0,0.58,-0.12,-0.04,0.32,0.22,0.39
1447,320954,-0.49,0.03,0.07,0,0,0,-0.05,-0.13,-0.1,0.01,0.01,0.07
1449,320955,0.47,-0.01,0.16,0,0,0,0.1,0.11,0.16,-0.02,-0.18,0.5
1452,320956,0.47,-0.03,-0.04,0,0,0,-0.2,-0.2,0.44,-0.32,-0.01,-0.09
1454,320957,-0.37,-0.12,0.1,0,0,0,-0.25,0.06,0.16,0.11,-0.05,0
1505,320958,-0.21,0.05,-0.15,0,0,0,-0.39,-0.07,0,0.43,0.13,-0.23
1506,320959,0.33,-0.07,-0.26,0,0,0,-0.02,0,-0.19,0.04,0.08,-0.22
1509,320960,-0.3,0.02,-0.12,0,0,0,0.37,0.06,-0.26,0.29,-0.15,-0.06
1512,320961,0.05,-0.12,0.09,0,0,0,0.13,0.08,0.32,-0.44,0.15,0.45
1515,320962,0.26,0.1,0.14,0,0,0,-0.14,-0.12,0.09,-0.19,0.16,0.42
1517,320963,0.4,-0.08,0.18,0,0,0,-0.37,-0.03,0.36,-0.15,-0.05,-0.08
1519,320964,0.25,-0.02,0.2,0,0,0,-0.03,0.22,0.28,0.11,0.01,0.23
1522,320965,-0.84,0.07,-0.35,0,0,0,0.09,0.2,0.35,0.58,-0.05,0.15
1524,320966,0,-0.19,0.19,0,0,0,0.16,0.04,0.22,-0.23,0,0.03
